"nome","idade","cpf","rg","data_nasc","sexo","signo","mae","pai","email","senha","cep","endereco","numero","bairro","cidade","estado","telefone_fixo","celular","altura","peso","tipo_sanguineo","cor"
"Louise Natália de Paula","31","374.126.476-87","28.853.321-5","26/11/1992","Feminino","Sagitário","Joana Carolina Raimunda","Gabriel Rafael de Paula","louisenataliadepaula@attglobal.net","MlwlJu3Mm3","29175-854","Rua A B","338","Conjunto Jacaraípe","Serra","ES","(27) 3643-2139","(27) 98648-5927","1,80","70","AB+","vermelho"
"Iago Ruan Sales","25","170.190.341-52","37.028.937-7","05/12/1998","Masculino","Sagitário","Louise Analu Yasmin","João Vicente Sales","iago-sales79@br.pwc.com","YqNq8YH778","79107-440","Rua Sarutaia","244","Jardim Zé Pereira","Campo Grande","MS","(67) 2990-4521","(67) 99401-0200","1,87","53","A-","preto"
"Malu Yasmin Carolina Peixoto","19","439.228.848-06","25.154.404-7","14/06/2004","Feminino","Gêmeos","Isabelle Elza Rita","Pietro Ian Alexandre Peixoto","malu_peixoto@equipavmineracao.com.br","qqxLto8phx","79822-230","Rua Manoel Amaro de Matos","390","Parque do Lago II","Dourados","MS","(67) 3997-0765","(67) 99140-5728","1,60","52","A+","amarelo"
"Lucca Erick Silva","78","035.994.961-45","29.373.447-1","02/11/1945","Masculino","Escorpião","Gabrielly Maitê Betina","Antonio Pietro Cláudio Silva","lucca_erick_silva@netjacarei.com.br","ELRy7aEBzF","49082-150","Rua Deputado Euvaldo Diniz","285","Novo Paraíso","Aracaju","SE","(79) 2767-0489","(79) 98483-1734","1,94","61","O-","verde"
"Ruan Daniel Melo","62","977.314.376-71","47.071.403-7","05/11/1961","Masculino","Escorpião","Isabela Regina","Giovanni Raul Mário Melo","ruan-melo96@way2goidiomas.com.br","11ZhqEUAn7","57308-310","Avenida Jany Camelo Lima","392","Planalto","Arapiraca","AL","(82) 2658-9077","(82) 98444-4084","1,80","99","A-","preto"
"Renata Marli Marlene Castro","28","557.628.900-58","24.827.996-8","24/02/1995","Feminino","Peixes","Patrícia Larissa Alícia","Cauã Pedro Henrique Enzo Castro","renata_marli_castro@acramisper.com","AhdD0mmIWz","08598-210","Rua Vitória Regia","561","Jardim Odete","Itaquaquecetuba","SP","(11) 3578-7137","(11) 98615-5983","1,76","46","B-","azul"
"Enrico Pedro Henrique da Cruz","18","123.405.492-21","33.644.455-2","21/06/2005","Masculino","Câncer","Alice Luna Liz","Diogo Tiago Carlos Eduardo da Cruz","enrico_dacruz@gerj.com.br","cPoHsIwGi2","88351-450","Rua Prefeito Rodolfo Gerlach","830","São Luiz","Brusque","SC","(47) 3975-6563","(47) 99792-9471","1,92","110","AB+","vermelho"
"Cauê Márcio Severino Figueiredo","45","382.931.003-03","41.830.025-2","27/11/1978","Masculino","Sagitário","Sabrina Luzia Rita","César Hugo Theo Figueiredo","cauemarciofigueiredo@sofisticattomoveis.com.br","3P3nfZpNEg","49043-733","Rua Quinze","777","Santa Maria","Aracaju","SE","(79) 3521-0030","(79) 98462-3312","1,72","91","O-","preto"
"Fernando Bento Hugo Ferreira","78","112.220.147-85","17.384.516-2","25/11/1945","Masculino","Sagitário","Eduarda Melissa","Gabriel Lucas Fernando Ferreira","fernando_bento_ferreira@comercialrafael.com.br","wUARC1GqEr","40080-140","Vila Natal","769","Politeama","Salvador","BA","(71) 3675-6569","(71) 99338-7358","1,63","53","A-","roxo"
"Otávio Heitor Calebe Barros","48","896.087.351-90","30.810.700-7","04/04/1975","Masculino","Áries","Benedita Tatiane","Manuel Luís Barros","otavio-barros93@htomail.com","rlaFJHGRhm","14405-158","Rua Lina Pichione Rocha","612","Vila Formosa","Franca","SP","(16) 3713-8056","(16) 98621-4158","1,78","60","O+","roxo"
"Manuel Cauê da Rocha","65","460.499.722-57","14.083.385-7","13/08/1958","Masculino","Leão","Kamilly Milena Marcela","Francisco Marcelo Gustavo da Rocha","manuelcauedarocha@redacaofinal.com.br","afSAFiEPIr","75913-216","Rua Três","709","Cidade Empresarial Nova Aliança","Rio Verde","GO","(64) 2567-4710","(64) 98700-2032","1,90","59","B+","preto"
"Anderson Enrico Bryan Aparício","55","310.669.565-02","13.243.081-2","16/06/1968","Masculino","Gêmeos","Luiza Francisca Emilly","Raul Diego Igor Aparício","anderson_aparicio@nipbr.com","0GyiGO4LiD","65633-569","Rua Acesso","113","Cidade Nova","Timon","MA","(86) 2764-7987","(86) 98130-6834","1,70","53","AB+","laranja"
"Luna Olivia Julia Farias","68","906.221.839-31","32.093.086-5","22/02/1955","Feminino","Peixes","Vera Alana","Nathan Heitor João Farias","luna.olivia.farias@iesa.com.br","eRX9OgaAeo","72851-762","Quadra Quadra 2","211","Jardim América","Luziânia","GO","(61) 3680-2446","(61) 98391-0332","1,70","56","O+","amarelo"
"Francisco Mateus Souza","68","536.693.044-87","45.320.881-2","01/04/1955","Masculino","Áries","Sandra Luciana Malu","Sérgio Lucca Breno Souza","francisco.mateus.souza@dglnet.com.br","CM1xuT30Uf","78730-280","Rua da Felicidade","721","Vila São Sebastião II","Rondonópolis","MT","(66) 2631-1638","(66) 99316-8064","1,85","81","AB-","verde"
"Laura Silvana da Luz","55","567.877.733-58","18.655.354-7","25/08/1968","Feminino","Virgem","Catarina Stella","Marcos Antonio Joaquim da Luz","laura_daluz@athoscontabil.com.br","GHHyB7c1nj","68925-314","Travessa Acerola","926","Elesbão","Santana","AP","(96) 2972-4380","(96) 99696-4844","1,85","71","B-","vermelho"
"Gabriela Cecília Fogaça","65","989.950.767-98","18.543.459-9","03/04/1958","Feminino","Áries","Ayla Jéssica Lúcia","Gael Arthur André Fogaça","gabriela.cecilia.fogaca@jbtc.com","XdhsyH1ZGd","74843-640","Avenida Vitória","751","Vila Rosa","Goiânia","GO","(62) 3555-2258","(62) 98880-7636","1,51","82","O+","verde"
"Giovanna Tatiane Dias","46","334.871.359-57","34.317.715-8","12/06/1977","Feminino","Gêmeos","Laura Beatriz","Emanuel Heitor Bruno Dias","giovannatatianedias@estevao.ind.br","4Yw8feKWeK","30335-110","Beco São Sebastião","928","Vila Barragem Santa Lúcia","Belo Horizonte","MG","(31) 2669-9804","(31) 98630-9834","1,64","66","O+","vermelho"
"Augusto Fernando André das Neves","26","545.076.074-42","35.005.999-8","26/11/1997","Masculino","Sagitário","Jaqueline Aparecida Giovana","Gabriel Ricardo Erick das Neves","augustofernandodasneves@compuativa.com.br","S5d6H5RUUi","73368-456","Quadra 5E Conjunto D","549","Arapoanga (Planaltina)","Brasília","DF","(61) 3768-2365","(61) 98821-1704","1,85","61","AB+","verde"
"Nelson Otávio Novaes","76","532.164.341-50","42.620.652-6","15/11/1947","Masculino","Escorpião","Marlene Camila Marli","Julio Lucas Novaes","nelsonotavionovaes@bidoul.eng.br","RC6SyONMZC","66833-315","Travessa Bacuri","317","Tapanã (Icoaraci)","Belém","PA","(91) 2503-6281","(91) 99386-5890","1,73","61","O+","roxo"
"Elaine Isis da Cunha","43","624.002.853-30","15.911.903-0","15/09/1980","Feminino","Virgem","Isadora Heloise Mariane","Vinicius Otávio da Cunha","elaine_dacunha@ematelecom.com.br","0Xh4TPiABR","13189-201","Rua Roma","302","Jardim Residencial Firenze","Hortolândia","SP","(19) 2656-4072","(19) 98581-2171","1,85","52","A-","vermelho"
